Fever,Cough,Shortness_of_breath,Fatigue,Myalgia,Headache,Anosmia,Sore_throat,Nasal_congestion,Rhinorrhea,Nausea,Vomiting,Diarrhea,Abdominal_pain,Blood_in_stool,Chest_pain,Constipation,Dysphagia,Palpitations,Knee_pain,Low_back_pain,Neck_pain,Paresthesia,Rash,Hemoptysis
"Fever does not necessarily need to be treated, and most people with a fever recover without specific medical attention.",The treatment of a cough in children is based on the underlying cause,directed at its underlying cause,,treated symptomatically,lifestyle changes,glucocorticoids,Pain medications,"humidifier, warm showers, drinking fluids, using a neti pot, using a nasal saline spray, and sleeping with one's head elevated",not necessary since it will clear up on its own,rehydration with oral electrolyte solutions,antiemetic,oral rehydration therapy,IV fluids,Treatment of bloody stool depends largely on the cause of the bleeding.,Aspirin,increased intake of water and fiber (either dietary or as supplements),"swallowing therapy, dietary changes, feeding tubes, certain medications, and surgery",depend on the severity and cause of the condition,"physical therapy exercises, pain-reducing drugs such as ibuprofen, joint stretching, knee replacement surgery, and weight loss in people who are overweight","remaining active, avoiding activity that worsen the pain, and understanding self-care of the symptoms",be treated conservatively,"immunosuppressant prednisone, intravenous gamma globulin (IVIG), anticonvulsants such as gabapentin or Gabitril and antiviral medication",steroid topical creams (such as hydrocortisone) or non-steroidal treatments,"iced saline, and topical vasoconstrictors"
The use of a fan or air conditioning,honey,"active assisted cough techniques, volume augmentation such as breath stacking, education about body position and ventilation patterns and movement strategies to facilitate breathing.",,,"beta blockers, antidepressants, anticonvulsants and NSAIDs",prednisone regimen,corticosteroids,over-the-counter decongestants and antihistamines,nose-blowing,intravenous rehydration,"anticholinergics, antihistamines, dopamine antagonists, serotonin antagonists, and cannabinoids",Medications such as loperamide (Imodium) and bismuth subsalicylate,analgesia,vitamins that are important for RBC formation,admission to the hospital,Soluble fiber supplements such as psyllium,Treatment strategies will differ on a patient to patient basis,stereotactic radioablation,acupuncture,attempting to return to normal activities as soon as possible within the limits of pain,"medication, body mechanics training, ergonomic reform, and physical therapy",topical numbing creams,,Tranexamic acid
aggressive cooling,A trial of antibiotics or inhaled corticosteroids,Pulmonary rehabilitation,,,Abortive therapies,steroidal treatment or removal of the polyp,Antibiotics,combining nasal sprays with "nasal breathing exercises" (NBE),saline nasal sprays and vasoconstrictor nasal sprays,Medical care,,Oral rehydration solution,"""GI cocktail"" that includes an antacid (examples include omeprazole, ranitidine, magnesium hydroxide, and calcium chloride) and lidocaine.",Diagnostic measures,cognitive behavioral therapy,milk of magnesia or polyethylene glycol,a supplementary nonoral feeding method of nutrition,beta-blocking medications,"Interventions such as exercises that target both the knee and the hip, foot bracing, and patellar taping",multidisciplinary treatment programs,Muscle relaxants,Ketamine,,Selective bronchial intubation
increased fluid intake,,Fan therapy,,,acetaminophen (paracetamol) or NSAIDs,,cold drink,,medicinal treatments,antihistamines and anticholinergics,,Appropriate amounts of supplemental zinc and potassium,Butylscopolamine (Buscopan),"colonoscopy and clipping, surgical intervention, or other measures",proton-pump inhibitor,polyethylene glycol,"receiving nutrition through a method that bypasses the oropharyngeal swallowing mechanism including a nasogastric tube, gastrostomy, or jejunostomy.",specialist examination and assessment,,"superficial heat, massage, acupuncture, or spinal manipulation",specific strengthening exercise,high doses of Baclofen multiple times a day,,Laser photocoagulation
Medications that lower fevers are called antipyretics,,Systemic immediate release opioids,,,metoclopramide,,lozenges,,antihistamines,dopamine antagonists,,Plain water,"cholecystectomy, appendectomy, and exploratory laparotomy",stool softeners,"manipulation therapy or chiropractic therapy, acupuncture,  or a recommendation for increased exercise",prucalopride and lubiprostone,a combination of treatment procedures,address the cause of irritation to the vagus nerve or the parasympathetic nervous system generally.,,walking,Motor control using cranio-cervical flexion exercises,antiviral medication,,Bronchial artery embolization (BAE)
Using both paracetamol and ibuprofen at the same time or alternating between the two,,long-acting/sustained-release opioids,,,an oral triptan,,,,,serotonin antagonists,,continue to be fed,,Improving a persons gut motility,A combination therapy of nonsteroidal anti-inflammatory drugs and manipulation therapy with at-home exercises,Enemas,"texture modification of foods, thickening fluids and positioning changes during swallowing",Anxiety and stress reduction techniques,,heat therapy,Multiple cervical manipulation sessions,,,Surgical option
,,"modifying activities (physical and mental), practicing relaxation techniques, pacing techniques, energy conservation techniques, learning exercises to control breathing, and education",,,parenteral (through a needle in the skin) triptans and antiemetics,,,,,pyridoxine and doxylamine,,Antidiarrheal agents,,topical nitrates or calcium channel blockers and surgical interventions for chronic or complex cases,,physical intervention such as manual disimpaction,,Changing body position (e.g. sitting upright rather than lying down),,Aerobic exercises,Thoracic manipulation,,,
,,non-pharmacological approaches to treating breathlessness may be combined with medication.,,,Sphenopalatine ganglion block,,,,,Dimenhydrinate,,bismuth compounds (Pepto-Bismol),,antibiotics,,Regular exercise,,,,directional exercise,Low level laser therapy,,,
,,"opiods, benzodiazepines, oxygen, and steriods.",,,"relaxation training, electromyographic feedback and cognitive behavioral therapy may be considered for migraine treatment, along with medications.",,,,,cannabinoids,,Anti-motility agents like loperamide,,removal of the offending agent,,procedures,,,,Exercise therapy,cognitive-behavioural therapy,,,
,,systematic corticosteriods,,,"NSAIDs (ibuprofen, naproxen, aspirin), or acetaminophen",,,,,Ginger,,Diosmectite,,medical treatment,,Colectomy with ileorectal anastomosi,,,,yoga,Massaging,,,
,,,,,amitriptyline,,,,,,,kaopectate,,different treatment,,,,,,Motor control exercise,Radiofrequency denervation,,,
,,,,,High flow oxygen therapy,,,,,,,Racecadotril,,"a proton pump inhibitor, with the addition of an H2 blocker",,,,,,Motor control exercise accompanied by manual therapy,,,,
,,,,,preventive therapy,,,,,,,Bile acid sequestrants,,different medical treatment regimens,,,,,,Peripheral nerve stimulation,,,,
,,,,,verapamil,,,,,,,Zinc supplementation,,,,,,,,Aquatic therapy,,,,
,,,,,lithium,,,,,,,probiotic lactobacillus,,,,,,,,Aquatic therapy,,,,
,,,,,Ergotamine,,,,,,,taking digestive enzymes containing lactase when consuming dairy products,,,,,,,,medications,,,,
,,,,,treating the underlying cause,,,,,,,,,,,,,,,short term use of opioids such as morphine,,,,
,,,,,antibiotics,,,,,,,,,,,,,,,opioids,,,,
,,,,,"surgery, chemotherapy or brain radiation",,,,,,,,\,,,,,,,"antiseizure drugs gabapentin, pregabalin, and topiramate",,,,
,,,,,Peripheral neuromodulation,,,,,,,,,,,,,,,Facet joint injections and steroid injections into the discs,,,,
,,,,,,,,,,,,,,,,,,,,Epidural corticosteroid injections,,,,
,,,,,,,,,,,,,,,,,,,,Discectomy (the partial removal of a disc that is causing leg pain),,,,
,,,,,,,,,,,,,,,,,,,,spinal fusion,,,,
,,,,,,,,,,,,,,,,,,,,Chiropractic care or spinal manipulation therapy (SMT),,,,
,,,,,,,,,,,,,,,,,,,,acute low back pain massage therapy,,,,
,,,,,,,,,,,,,,,,,,,,"Capsicum, in the form of either a gel or a plaster cast",,,,
,,,,,,,,,,,,,,,,,,,,Behavioral therapy,,,,
,,,,,,,,,,,,,,,,,,,,neuroreflexotherapy (NRT),,,,
,,,,,,,,,,,,,,,,,,,,"Multidisciplinary biopsychosocial rehabilitation (MBR), targeting physical and psychological aspects",,,,
,,,,,,,,,,,,,,,,,,,,KT Tape,,,,
,,,,,,,,,,,,,,,,,,,,education,,,,
