Fever,Cough,Shortness_of_breath,Fatigue,Myalgia,Headache,Anosmia,Sore_throat,Nasal_congestion,Rhinorrhea,Nausea,Vomiting,Diarrhea,Abdominal_pain,Blood_in_stool,Chest_pain,Constipation,Dysphagia,Palpitations,Knee_pain,Low_back_pain,Neck_pain,Paresthesia,Rash,Hemoptysis
"Fever does not necessarily need to be treated, and most people with a fever recover without specific medical attention. Although it is unpleasant, fever rarely rises to a dangerous level even if untreated. Damage to the brain generally does not occur until temperatures reach 42°C (107.6°F), and it is rare for an untreated fever to exceed 40.6°C (105°F). Treating fever in people with sepsis does not affect outcomes.",The treatment of a cough in children is based on the underlying cause. In children half of cases go away without treatment in 10 days and 90% in 25 days.,"The primary treatment of shortness of breath is directed at its underlying cause. Extra oxygen is effective in those with hypoxia; however, this has no effect in those with normal blood oxygen saturations.",,"When the cause of myalgia is unknown, it should be treated symptomatically. Common treatments include heat, rest, paracetamol, NSAIDs and muscle relaxants.",Primary headache syndromes have many different possible treatments. In those with chronic headaches the long term use of opioids appears to result in greater harm than benefit. Migraine can be somewhat improved by lifestyle changes.,"Though anosmia caused by brain damage cannot be treated, anosmia caused by inflammatory changes in the mucosa may be treated with glucocorticoids.",Pain medications such as non-steroidal anti-inflammatory drugs (NSAIDs) and paracetamol (acetaminophen) help in the management of pain.,"According to WebMD, congestion can be addressed through the use of a humidifier, warm showers, drinking fluids, using a neti pot, using a nasal saline spray, and sleeping with one's head elevated.","In most cases, treatment for rhinorrhea is not necessary since it will clear up on its own—especially if it is the symptom of an infection.","If dehydration is present due to loss of fluids from severe vomiting, rehydration with oral electrolyte solutions is preferred.",An antiemetic is a drug that is effective against vomiting and nausea. Antiemetics are typically used to treat motion sickness and the side effects of medications such as opioids and chemotherapy.,"In many cases of diarrhea, replacing lost fluid and salts is the only treatment needed. This is usually by mouth – oral rehydration therapy – or, in severe cases, intravenously. Diet restrictions such as the BRAT diet are no longer recommended. Research does not support the limiting of milk to children as doing so has no effect on duration of diarrhea. To the contrary, WHO recommends that children with diarrhea continue to eat as sufficient nutrients are usually still absorbed to support continued growth and weight gain, and that continuing to eat also speeds up recovery of normal intestinal functioning. CDC recommends that children and adults with cholera also continue to eat. There is no evidence that early refeeding in children can cause an increase in inappropriate use of intravenous fluid, episodes of vomiting, and risk of having persistent diarrhea.","In the emergency department, a person presenting with abdominal pain may initially require IV fluids due to decreased intake secondary to abdominal pain and possible emesis or vomiting.","Treatment of bloody stool depends largely on the cause of the bleeding. Bleeding is commonly associated with symptoms of fatigue, dizziness, headaches, or even shortness of breath, and these associated symptoms also require treatment. These symptoms are the result of blood loss, and occur due to a lack of red blood cells (RBCs) circulating in the vascular system, resulting in less oxygen reaching the tissues and organs. Blood in stool can be associated with serious complications as a result of blood volume loss (hemorrhage) or a slow leak of the blood leading to low levels of hemoglobin in the circulating blood (anemia).","Chest pain is a common symptom encountered by emergency medical services. Aspirin increases survival in people with acute coronary syndrome and it is reasonable for EMS dispatchers to recommend it in people with no recent serious bleeding. Supplemental oxygen was used in the past for most people with chest pain but is not needed unless the oxygen saturations are less than 94% or there are signs of respiratory distress. Entonox is frequently used by EMS personnel in the prehospital environment. However, there is little evidence about its effectiveness.","In chronic constipation of unknown cause, the main treatment involves the increased intake of water and fiber (either dietary or as supplements). The routine use of laxatives or enemas is discouraged, as having bowel movements may come to be dependent upon their use.","There are many ways to treat dysphagia, such as swallowing therapy, dietary changes, feeding tubes, certain medications, and surgery. Treatment for dysphagia is managed by a group of specialists known as a multidisciplinary team. Members of the multidisciplinary team include: a speech language pathologist specializing in swallowing disorders (swallowing therapist), primary physician, gastroenterologist, nursing staff, respiratory therapist, dietitian, occupational therapist, physical therapist, pharmacist, and radiologist. The role of the members of the multidisciplinary team will differ depending on the type of swallowing disorder present.",Treating palpitation will depend on the severity and cause of the condition. Radiofrequency ablation can cure most types of supraventricular and many types of ventricular tachycardias.,"Although surgery has a role in repairing traumatic injuries and broken bones, surgeries such as arthroscopic lavage do not provide significant or lasting improvements to either pain or function to people with  knee pain, and therefore should almost never be performed. Knee pain is pain caused by wear and tear, such as osteoarthritis or a meniscal tear.  Effective treatments for knee pain include physical therapy exercises, pain-reducing drugs such as ibuprofen, joint stretching, knee replacement surgery, and weight loss in people who are overweight.","Most people with acute or subacute low back pain improve over time no matter the treatment. There is often improvement within the first month. Recommendations include remaining active, avoiding activity that worsen the pain, and understanding self-care of the symptoms.","Treatment of neck pain depends on the cause. For the vast majority of people, neck pain can be treated conservatively.","Medications offered can include the immunosuppressant prednisone, intravenous gamma globulin (IVIG), anticonvulsants such as gabapentin or Gabitril and antiviral medication, depending on the underlying cause.",Common rashes can be easily remedied using steroid topical creams (such as hydrocortisone) or non-steroidal treatments. Many of the medications are available over the counter in the United States.,"Treatments include iced saline, and topical vasoconstrictors such as adrenalin or vasopressin."
Limited evidence supports sponging or bathing feverish children with tepid water. The use of a fan or air conditioning may somewhat reduce the temperature and increase comfort.,According to the American Academy of Pediatrics the use of cough medicine to relieve cough symptoms is supported by little evidence and thus not recommended for treating cough symptoms in children. There is tentative evidence that the use of honey is better than no treatment or diphenhydramine in decreasing coughing. It does not alleviate coughing to the same extent as dextromethorphan but it shortens the cough duration better than placebo and salbutamol.,"Individuals can benefit from a variety of physical therapy interventions. Persons with neurological/neuromuscular abnormalities may have breathing difficulties due to weak or paralyzed intercostal, abdominal and/or other muscles needed for ventilation. Some physical therapy interventions for this population include active assisted cough techniques, volume augmentation such as breath stacking, education about body position and ventilation patterns and movement strategies to facilitate breathing.",,,"Preventive medications are generally recommended when people have more than four attacks of migraine per month, headaches last longer than 12 hours or the headaches are very disabling. Possible therapies include beta blockers, antidepressants, anticonvulsants and NSAIDs. The type of preventive medicine is usually chosen based on the other symptoms the person has. For example, if the person also has depression, an antidepressant is a good choice.","Reduction of inflammation through the use of oral glucocorticoids such as prednisone, followed by long term topical glucocorticoid nasal spray, would easily and safely treat the anosmia. A prednisone regimen is adjusted based on the degree of the thickness of mucosa, the discharge of oedema and the presence or absence of nasal polyps. However, the treatment is not permanent and may have to be repeated after a short while. Together with medication, pressure of the upper area of the nose must be mitigated through aeration and drainage.",The use of corticosteroids seems to increase the likelihood of resolution and reduce the level of pain.,WebMD also recommends a number of over-the-counter decongestants and antihistamines to address congestion.,"For general cases nose-blowing can get rid of the mucus buildup. Though blowing may be a quick-fix solution, it would likely proliferate mucosal production in the sinuses, leading to frequent and higher mucus buildups in the nose.","If this is not effective or possible, intravenous rehydration may be required.","Antiemetics act by inhibiting the receptor sites associated with emesis. Hence, anticholinergics, antihistamines, dopamine antagonists, serotonin antagonists, and cannabinoids are used as antiemetics.",Medications such as loperamide (Imodium) and bismuth subsalicylate may be beneficial; however they may be contraindicated in certain situations.,"Treatment for abdominal pain includes analgesia, such as non-opioid (ketorolac) and opioid medications (morphine, fentanyl). Choice of analgesia is dependent on the cause of the pain, as ketorolac can worsen some intra-abdominal processes.","Anemia is a common complication of blood in the stool, especially when there is a large amount of blood or bleeding occurs over a long period of time. Anemia is also commonly associated with an iron deficiency, due to the importance of iron in the formation of red blood cells (RBCs). When anemia is diagnosed as a result of blood in the stool, vitamins that are important for RBC formation (folate, vitamin B12, and vitamin C) are frequently prescribed in order to ensure that all the materials are available for those cells that are made.","For persons with suspected cardiac chest pain or acute coronary syndrome, or other emergent diagnoses such as pneumothorax, pulmonary embolism, or aortic dissection, admission to the hospital is most often recommended for further treatment.","Soluble fiber supplements such as psyllium are generally considered first-line treatment for chronic constipation, compared to insoluble fibers such as wheat bran. Side effects of fiber supplements include bloating, flatulence, diarrhea, and possible malabsorption of iron, calcium, and some medications. However, patients with opiate-induced constipation will likely not benefit from fiber supplements.","The implementation of a treatment strategy should be based on a thorough evaluation by the multidisciplinary team. Treatment strategies will differ on a patient to patient basis and should be structured to meet the specific needs of each individual patient. Treatment strategies are chosen based on a number of different factors including diagnosis, prognosis, reaction to compensatory strategies, severity of dysphagia, cognitive status, respiratory function, caregiver support, and patient motivation and interest.",there have been advances in stereotactic radioablation for certain arrythmias.  This technique is commonly used for solid tumors and has been applied with success in management of difficult to treat Ventricular Tachycardia and Atrial Fibrillation.,"Acupuncture has also been found to be a potential treatment for those with knee pain. There is evidence that acupuncture can be useful in reducing acute pain after a total knee arthroplasty, reducing the need for certain prescription drugs such as opioids. For those suffering from chronic knee pain, defined as pain lasting more than 3 months, acupuncture was found to be effective in reducing pain up to 12 weeks after acupuncture treatment.","For acute pain that is causing only mild to moderate problems, the goals are to restore normal function, return the individual to work, and minimize pain. The condition is normally not serious, resolves without much being done, and recovery is helped by attempting to return to normal activities as soon as possible within the limits of pain.","Other common treatments could include medication, body mechanics training, ergonomic reform, and physical therapy. Treatments may also include patient education, but existing evidence shows a lack of effectiveness.","In addition to treatment of the underlying disorder, palliative care can include the use of topical numbing creams, such as lidocaine or prilocaine.",,Tranexamic acid was proved to improve in-hospital mortality.
"If the temperature reaches the extremely high level of hyperpyrexia, aggressive cooling is required (generally produced mechanically via conduction by applying numerous ice packs across most of the body or direct submersion in ice water).",A trial of antibiotics or inhaled corticosteroids may be tried in children with a chronic cough in an attempt to treat protracted bacterial bronchitis or asthma respectively. There is insufficient evidence to recommend treating children who have a cough that is not related to a specific condition with inhaled anti-cholinergics.,"Pulmonary rehabilitation may alleviate symptoms in some people, such as those with COPD, but will not cure the underlying disease.",,,"Abortive therapies for migraines may be oral, if the migraine is mild to moderate.",Anosmia caused by a nasal polyp may be treated by steroidal treatment or removal of the polyp.,Antibiotics shorten the duration of pain symptoms by an average of about one day. It is not known whether antibiotics are effective for preventing recurrent sore throat.,A 2012 study concluded that combining nasal sprays with "nasal breathing exercises" (NBE) led to improvement of symptoms.,"Alternatively, saline nasal sprays and vasoconstrictor nasal sprays may also be used, but may become counterproductive after several days of use, causing rhinitis medicamentosa.","Medical care is recommended if: a person cannot keep any liquids down, has symptoms more than 2 days, is weak, has a fever, has stomach pain, vomits more than two times in a day or does not urinate for more than 8 hours.",,"Oral rehydration solution (ORS) (a slightly sweetened and salty water) can be used to prevent dehydration. Standard home solutions such as salted rice water, salted yogurt drinks, vegetable and chicken soups with salt can be given. Home solutions such as water in which cereal has been cooked, unsalted soup, green coconut water, weak tea (unsweetened), and unsweetened fresh fruit juices can have from half a teaspoon to full teaspoon of salt (from one-and-a-half to three grams) added per liter. Clean plain water can also be one of several fluids given. There are commercial solutions such as Pedialyte, and relief agencies such as UNICEF widely distribute packets of salts and sugar. A WHO publication for physicians recommends a homemade ORS consisting of one liter water with one teaspoon salt (3 grams) and two tablespoons sugar (18 grams) added (approximately the ""taste of tears""). Rehydration Project recommends adding the same amount of sugar but only one-half a teaspoon of salt, stating that this more dilute approach is less risky with very little loss of effectiveness. Both agree that drinks with too much sugar or salt can make dehydration worse.","Patients presenting to the emergency department with abdominal pain may receive a ""GI cocktail"" that includes an antacid (examples include omeprazole, ranitidine, magnesium hydroxide, and calcium chloride) and lidocaine. After addressing pain, there may be a role for antimicrobial treatment in some cases of abdominal pain.",Diagnostic measures can be used as interventions to help stop bleeding in some cases.,"For people with non-cardiac chest pain, cognitive behavioral therapy might be helpful on an outpatient basis. A 2015 Cochrane review found that cognitive behavioral therapy might reduce the frequency of chest pain episodes the first three months after treatment.","If laxatives are used, milk of magnesia or polyethylene glycol are recommended as first-line agents due to their low cost and safety. Stimulants should only be used if this is not effective.","If oral feeding results in increased mealtimes and increased effort during the swallow, resulting in not enough food being ingested to maintain weight, a supplementary nonoral feeding method of nutrition may be needed.","The most challenging cases involve palpitations that are secondary to supraventricular or ventricular ectopy or associated with normal sinus rhythm. These conditions are thought to be benign, and the management involves reassurance of the patient that these arrhythmias are not life-threatening. In these situations when the symptoms are unbearable or incapacitating, treatment with beta-blocking medications could be considered, and may provide a protective effect for otherwise healthy individuals.","Overall, a combination of interventions seems to be the best choice when treating knee pain. Interventions such as exercises that target both the knee and the hip, foot bracing, and patellar taping are all recommended for use with patients suffering from knee pain.","For those with sub-chronic or chronic low back pain, multidisciplinary treatment programs may help.","Muscle relaxants may also be recommended. However, one study showed that one muscle relaxant called cyclobenzaprine was not effective for treatment of acute cervical strain (as opposed to neck pain from other etiologies or chronic neck pain).","Ketamine has also been successfully used, but is still not approved indications by insurance. Careful consideration must be taken to apply only the necessary amount, as excess can contribute to conditions. Otherwise, these products offer extremely effective, but short-lasting, relief from the condition.",,Selective bronchial intubation can be used to collapse the lung that is bleeding.
"In general, people are advised to keep adequately hydrated. Whether increased fluid intake improves symptoms or shortens respiratory illnesses such as the common cold is not known.",,Fan therapy to the face has been shown to relieve shortness of breath in patients with a variety of advanced illnesses including cancer. The mechanism of action is thought to be stimulation of the trigeminal nerve.,,,"Mild to moderate headaches should first be treated with acetaminophen (paracetamol) or NSAIDs, like ibuprofen.",,"There is an old wives tale that having a hot drink can help with common cold and influenza symptoms, including sore throat, but there is only limited evidence to support this idea. If the sore throat is unrelated to a cold and is caused by for example tonsillitis, a cold drink may be helpful.",,"In recurring cases, such as those due to allergies, there are medicinal treatments available.","For people with motion sickness and vertigo, antihistamines and anticholinergics such as meclizine and scopolamine are particularly effective.",,"Appropriate amounts of supplemental zinc and potassium should be added if available. But the availability of these should not delay rehydration. As WHO points out, the most important thing is to begin preventing dehydration as early as possible. In another example of prompt ORS hopefully preventing dehydration, CDC recommends for the treatment of cholera continuing to give Oral Rehydration Solution during travel to medical treatment.",Butylscopolamine (Buscopan) is used to treat cramping abdominal pain with some success.,"Bleeding that occurs due to a neoplasm (cancer growth) can be treated using colonoscopy and clipping, surgical intervention, or other measures, depending on the form and stage of cancer.","For persons with chest pain due to gastroesophageal reflux disease, a proton-pump inhibitor has been shown to be the most effective treatment.","In cases of chronic constipation, polyethylene glycol appears superior to lactulose.","In addition, if the patient aspirates food or liquid into the lungs despite the use of compensatory strategies, and is therefore unsafe for oral feeding, nonoral feeding may be needed. Nonoral feeding includes receiving nutrition through a method that bypasses the oropharyngeal swallowing mechanism including a nasogastric tube, gastrostomy, or jejunostomy.",Palpitation that is caused by heart muscle defects will require specialist examination and assessment.,,"For those with sub-chronic or chronic low back pain, Initial management with non–medication based treatments is recommended, with NSAIDs used if these are not sufficiently effective. Non–medication based treatments include superficial heat, massage, acupuncture, or spinal manipulation. Acetaminophen and systemic steroids are not recommended as both medications are not effective at improving pain outcomes in acute or subacute low back pain.","Exercise plus joint manipulation has been found to be beneficial in both acute and chronic mechanical neck disorders. In particular, specific strengthening exercise may improve function and pain.",Paresthesia caused by stroke may receive some temporary benefit from high doses of Baclofen multiple times a day. HIV patients who self-medicate with cannabis report that it reduces their symptoms.,,Laser photocoagulation can be used to stop bleeding during bronchoscopy.
"Medications that lower fevers are called antipyretics. The antipyretic ibuprofen is effective in reducing fevers in children. It is more effective than acetaminophen (paracetamol) in children. Ibuprofen and acetaminophen may be safely used together in children with fevers. The efficacy of acetaminophen by itself in children with fevers has been questioned. Ibuprofen is also superior to aspirin in children with fevers. Additionally, aspirin is not recommended in children and young adults (those under the age of 16 or 19 depending on the country) due to the risk of Reye's syndrome.",,Systemic immediate release opioids are beneficial in emergently reducing the symptom of shortness of breath due to both cancer and non cancer causes,,,"If accompanied by nausea or vomiting, an antiemetic such as metoclopramide (Reglan) can be given orally or rectally.",,There are also other medications like lozenges which can help people to cope with a sore throat.,,"For cases caused by histamine buildup, several types of antihistamines can be obtained relatively cheaply from drugstores.","Nausea and vomiting associated with migraine headaches respond best to dopamine antagonists such as metoclopramide, prochlorperazine, and chlorpromazine.",,"Drinks especially high in simple sugars, such as soft drinks and fruit juices, are not recommended in children under five as they may increase dehydration. A too rich solution in the gut draws water from the rest of the body, just as if the person were to drink sea water. Plain water may be used if more specific and effective ORT preparations are unavailable or are not palatable.","Surgical management for causes of abdominal pain includes but is not limited to cholecystectomy, appendectomy, and exploratory laparotomy.","The treatment for motility issues, namely constipation, is typically to improve the movement of waste through the GI tract. This is done by using stool softeners (which work by pulling water into the stool while in the colon), addition of fiber to the diet, and use of osmotic laxatives (which help fluid movement through the colon, improving overall motility).","For musculoskeletal causes of chest pain, manipulation therapy or chiropractic therapy, acupuncture,  or a recommendation for increased exercise are often used as treatment. Studies have shown conflicting results on the efficacy of these treatments.","Prokinetics may be used to improve gastrointestinal motility. A number of new agents have shown positive outcomes in chronic constipation; these include prucalopride and lubiprostone. Cisapride is widely available in third world countries, but has been withdrawn in most of the west. It has not been shown to have a benefit on constipation, while potentially causing cardiac arrhythmias and deaths.","Patients may need a combination of treatment procedures to maintain a safe and nutritionally adequate swallow. For example, postural strategies may be combined with swallowing maneuvers to allow the patient to swallow in a safe and efficient manner.",Treatment of vagus nerve induced palpitation will need to address the cause of irritation to the vagus nerve or the parasympathetic nervous system generally.,,"For acute pain, low- to moderate-quality evidence supports walking. Treatment according to McKenzie method is somewhat effective for recurrent acute low back pain, but its benefit in the short term does not appear significant.",Motor control using cranio-cervical flexion exercises has been shown to be effective for non-specific chronic neck pain.,Paresthesia caused by shingles is treated with appropriate antiviral medication.,,Bronchial artery embolization (BAE) is the first line treatment nowadays.
Using both paracetamol and ibuprofen at the same time or alternating between the two is more effective at decreasing fever than using only paracetamol or ibuprofen. It is not clear if it increases child comfort. Response or nonresponse to medications does not predict whether or not a child has a serious illness.,,"long-acting/sustained-release opioids are also used to prevent/continue treatment of dyspnea in palliative setting. There is a lack of evidence to recommend midazolam, nebulised opioids, the use of gas mixtures, or cognitive-behavioral therapy.",,,"Moderate to severe attacks should be treated first with an oral triptan, a medication that mimics serotonin (an agonist) and causes mild vasoconstriction.",,,,,"In cases of gastroenteritis, serotonin antagonists such as ondansetron were found to suppress nausea and vomiting, as well as reduce the need for IV fluid resuscitation.",,"The WHO recommends a child with diarrhea continue to be fed. Continued feeding speeds the recovery of normal intestinal function. In contrast, children whose food is restricted have diarrhea of longer duration and recover intestinal function more slowly. The WHO states ""Food should never be withheld and the child's usual foods should not be diluted. Breastfeeding should always be continued."" In the specific example of cholera, the CDC makes the same recommendation. Breast-fed infants with diarrhea often choose to breastfeed more, and should be encouraged to do so. In young children who are not breast-fed and live in the developed world, a lactose-free diet may be useful to speed recovery.Eating food containing fibers may help.",,Improving a persons gut motility can reduce the straining during defection and decrease the risk of developing of anal fissures.,A combination therapy of nonsteroidal anti-inflammatory drugs and manipulation therapy with at-home exercises has been shown to be most effective in treatment of musculoskeletal chest pain.,"Enemas can be used to provide a form of mechanical stimulation. A large volume or high enema can be given to cleanse as much of the colon as possible of feces, and the solution administered commonly contains castile soap which irritates the colon's lining resulting in increased urgency to defecate. However, a low enema is generally useful only for stool in the rectum, not in the intestinal tract.","The most common interventions used for those with oropharyngeal dysphagia by speech language pathologists are texture modification of foods, thickening fluids and positioning changes during swallowing. The effectiveness of modifying food and fluid in preventing aspiration pneumonia has been questioned and these can be associated with poorer nutrition, hydration and quality of life. Also, there has been considerable variability in national approaches to describing different degrees of thickened fluids and food textures. However, in 2015, the International Dysphagia Diet Standardisation Initiative (IDDSI) group produced an agreed IDDSI framework consisting of a continuum of 8 levels (0-7), where drinks are measured from Levels 0 – 4, while foods are measured from Levels 3 – 7.  It is likely that this initiative, which has widespread support among dysphagia practitioners, will improve communication with carers and will lead to greater standardisation of modified diets.",It is of significance that anxiety and stress are strongly associated with increased frequency and severity of vagus nerve induced palpitation. Anxiety and stress reduction techniques such as meditation and massage may prove extremely beneficial to reduce or eliminate symptoms temporarily.,,There is tentative evidence to support the use of heat therapy for acute and sub-chronic low back pain but little evidence for the use of either heat or cold therapy in chronic pain.,"Both cervical manipulation and cervical mobilization produce similar immediate-, and short-term changes. Multiple cervical manipulation sessions may provide better pain relief and functional improvement than certain medications at immediate to long-term follow-up.",,,Surgical option is usually the last resort and can involve removal of a lung lobe or removal of the entire lung.
,,"Managing breathlessness by actively managing psychosocial aspects including modifying activities (physical and mental), practicing relaxation techniques, pacing techniques, energy conservation techniques, learning exercises to control breathing, and education may be beneficial.",,,"If accompanied by nausea and vomiting, parenteral (through a needle in the skin) triptans and antiemetics can be given.",,,,,The combination of pyridoxine and doxylamine is the first line treatment for pregnancy-related nausea and vomiting.,,"Antidiarrheal agents can be classified into four different groups: antimotility, antisecretory, adsorbent, and anti-infectious. While antibiotics are beneficial in certain types of acute diarrhea, they are usually not used except in specific situations. There are concerns that antibiotics may increase the risk of hemolytic uremic syndrome in people infected with Escherichia coli O157:H7. In resource-poor countries, treatment with antibiotics may be beneficial. However, some bacteria are developing antibiotic resistance, particularly Shigella. Antibiotics can also cause diarrhea, and antibiotic-associated diarrhea is the most common adverse effect of treatment with general antibiotics.",,"Anal fissures are associated with pain and blood on the toilet paper, and require time for healing. Treatment includes topical nitrates or calcium channel blockers and surgical interventions for chronic or complex cases.",,Constipation that resists the above measures may require physical intervention such as manual disimpaction (the physical removal of impacted stool using the hands; see fecal impaction).,,"Changing body position (e.g. sitting upright rather than lying down) may also help reduce symptoms due to the vagus nerve's innervation of several structures within the body such as the GI tract, diaphragm and lungs.",,"Weak evidence suggests that back belts might decrease the number of missed workdays, but there is nothing to suggest that they will help with the pain. Ultrasound and shock wave therapies do not appear effective and therefore are not recommended. Lumbar traction lacks effectiveness as an intervention for radicular low back pain. It is also unclear whether lumbar supports are an effective treatment intervention. Aerobic exercises like progressive walking appears useful for subacute and acute low back pain, is strongly recommended for chronic low back pain, and is recommended after surgery.",Thoracic manipulation may also improve pain and function.,,,
,,"For people with severe, chronic, or uncontrolable breathlessness, non-pharmacological approaches to treating breathlessness may be combined with medication.",,,"Sphenopalatine ganglion block (SPG block, also known nasal ganglion block or pterygopalatine ganglion blocks) can abort and prevent migraines, tension headaches and cluster headaches. It was originally described by American ENT surgeon Greenfield Sluder in 1908. Both blocks and neurostimulation have been studied as treatment for headaches.",,,,,"Dimenhydrinate is an inexpensive and effective over the counter medication for preventing postoperative nausea and vomiting. Other factors to consider when choosing an antiemetic medication include the person's preference, side-effect profile, and cost.",,"While bismuth compounds (Pepto-Bismol) decreased the number of bowel movements in those with travelers' diarrhea, they do not decrease the length of illness. It should be used only if bloody diarrhea is not present.",,"With infectious colitis, treatment is pathogen dependent, and generally requires the use of antibiotics.",,Regular exercise can help improve chronic constipation.,,,,"In terms of directional exercise which try to limit low back pain is recommended in sub-acute, chronic and radicular low back pain. These exercises only work if they are limiting low back pain. Exercise programs that incorporate stretching only are not recommended for low back pain. Generic or non specific stretching has also been found to not help with acute low back pain. Stretching, especially with limited range of motion, can impede future progression of treatment like limiting strength and limiting exercises.",Low level laser therapy has been shown to reduce pain immediately after treatment in acute neck pain and up to 22 weeks after completion of treatment in patients that experience chronic neck pain.,,,
,,"For people who have cancer that is causing the breathlessness, medications that have been suggested include opiods, benzodiazepines, oxygen, and steriods. Ensuring that the balance between side effects and adverse effects from medications and potential improvements from medications needs to be carefully considered before prescribing medication.",,,"Several complementary and alternative strategies can help with migraines. The American Academy of Neurology guidelines for migraine treatment in 2000 stated relaxation training, electromyographic feedback and cognitive behavioral therapy may be considered for migraine treatment, along with medications.",,,,,"In certain people, cannabinoids may be effective in reducing chemotherapy associated nausea and vomiting. Several studies have demonstrated the therapeutic effects of cannabinoids for nausea and vomiting in the advanced stages of illnesses such as cancer and AIDS.",,Anti-motility agents like loperamide are also effective at reducing the number of stools but not the duration of disease. It should be used only if bloody diarrhea is not present.,,"With drug-induced colitis, treatment typically involves removal of the offending agent, as is the case in NSAID induced PUD.",,"In refractory cases, procedures can be performed to help relieve constipation. Sacral nerve stimulation has been demonstrated to be effective in a minority of cases.",,,,"Exercise therapy is effective in decreasing pain and improving physical function, trunk muscle strength and mental health for those with chronic low back pain. It also appears to reduce recurrence rates for as long as six months after the completion of program and improves long-term function. There is no evidence that one particular type of exercise therapy is more effective than another.",Low quality evidence suggests that cognitive-behavioural therapy may be effective at reducing pain in the short-term.,,,
,,"The use of systematic corticosteriods in palliative care for people with cancer is common, however the effectivenss and potential adverse effects of this approach in adults with cancer has not been well studied.",,,"Tension-type headaches can usually be managed with NSAIDs (ibuprofen, naproxen, aspirin), or acetaminophen. Triptans are not helpful in tension-type headaches unless the person also has migraines.",,,,,Ginger has also been shown to be potentially effective in treating several types of nausea.,,"Diosmectite, a natural aluminomagnesium silicate clay, is effective in alleviating symptoms of acute diarrhea in children, and also has some effects in chronic functional diarrhea, radiation-induced diarrhea, and chemotherapy-induced diarrhea.",,"However, removing radiation from a cancer patient is not always practical within a treatment regimen, so medical treatment is the primary mode of treatment.",,"Colectomy with ileorectal anastomosis is another intervention performed only in patients known to have a slow colonic transit time and in whom a defecation disorder has either been treated or is not present. Because this is a major operation, side effects can include considerable abdominal pain, small bowel obstruction, and post-surgical infections. Furthermore, it has a very variable rate of success and is very case dependent.",,,,"there is tentative evidence to support the use of yoga. If a person is motivated with chronic low back pain, it is recommended to use yoga and tai chi as a form of treatment, but not recommended to treat acute or subacute low back pain.","Massaging the area may provide immediate and short-lived benefits, but long term effects are unknown.",,,
